order_id;Tanggal_Order;Waktu_Pesan;Nama_Pemesan;No_Resi;Produk;Kategori;Jumlah_Pesanan;Harga;Diskon;Total_Harga;Profit;Kota_Pengiriman - Media_Pemesanan;Admin_Proses;Ekspedisi;Rating
odr7532;10/01/2019;14:24:48;Romonda Basnett;65044-2620;;;15;;28;;;;Mark;POS Indonesia;1
odr7533;19/01/2019;14:24:20;Othelia Yerbury;10267-0490;Oversized T-Shirt;;16;;33;;;Tangerang - Tokopedia;Mark;SiCepat;5
odr7534;18/01/2019;22:07:38;Fabiano Sturgis;55505-167;Mug;;1;;27;;;Bali - Website;Nami;JNE;
odr7535;08/01/2019;16:54:33;Vannie Dargavel;54575-105;T-Shirt;;10;;20;;;Depok - FB Marketplace;Mark;JNT;
odr7536;21/01/2019;05:37:05;Salomo McKean;36987-2426;Sweater;;24;;;;;Depok - Website;Wanokuni;POS Indonesia;2
odr7537;19/01/2019;16:51:03;Malissa Wigley;55289-384;Mug;;25;;;;;Depok - Website;Mark;Shopee Express;5
odr7538;25/01/2019;03:18:34;Amalia Massy;64980-112;Sweater;;6;;;;;Yogyakarta - FB Marketplace;Elon;POS Indonesia;5
odr7539;28/01/2019;08:57:20;Kahaleel Brain;41163-029;Parka Jackets;;3;;17;;;Jakarta - Website;Nami;SiCepat;4
odr7540;15/01/2019;10:50:56;Mufinella Codling;48951-6033;Sweater;;20;;15;;;Jakarta - FB Marketplace;Mark;;2
odr7541;06/01/2019;22:38:44;Dorothy McAlarney;68387-236;Topi;;10;;;;;Semarang - Instagram;Nami;Wahana;
odr7542;12/01/2019;06:31:08;Elyse Squibe;21695-948;T-Shirt;;22;;;;;Tangerang - Website;Nami;Shopee Express;5
odr7543;13/01/2019;18:09:46;Breena Hearon;55154-5765;Oversized T-Shirt;;10;;;;;Jakarta - Website;Wanokuni;JNE;3
odr7544;30/01/2019;11:34:05;Kelila Seals;52815-121;Parka Jackets;;9;;;;;Bogor - Instagram;Jeff;JNE;3
odr7545;02/01/2019;12:54:29;Emma Beddoes;0268-0847;Mug;;11;;12;;;Bali - FB Marketplace;Jeff;SiCepat;1
odr7546;04/01/2019;12:30:02;Constantia Hattigan;63304-192;Oversized T-Shirt;;14;;26;;;Bali - FB Marketplace;Mark;POS Indonesia;3
odr7547;15/01/2019;17:52:43;Emiline Oddey;0054-0251;T-Shirt;;3;;5;;;Jakarta - Tokopedia;Elon;JNE;4
odr7548;11/01/2019;05:49:30;Arvie Schusterl;53203-101;Cargo Pants;;1;;;;;;Rizal;POS Indonesia;1
odr7549;30/01/2019;07:50:50;Nat Houlden;50375-3001;T-Shirt;;11;;6;;;Depok - Whatsapp;Mark;JNE;5
odr7550;27/01/2019;15:59:30;Sharai Ewin;30142-837;Oversized T-Shirt;;9;;;;;Yogyakarta - Shopee;Elon;Wahana;2
odr7551;04/01/2019;21:40:41;Farah Murley;41163-701;Mug;;25;;19;;;Bali - Tokopedia;Rizal;;1
odr7552;03/01/2019;11:56:56;Heida Mancer;29300-169;Oversized T-Shirt;;20;;;;;Depok - Tokopedia;Abraham;JNE;2
odr7553;10/01/2019;07:54:37;Jeralee Renzullo;55154-2729;Oversized T-Shirt;;1;;6;;;Bogor - Website;Mark;Shopee Express;2
odr7554;01/01/2019;05:25:35;Adelina Rigts;0363-0516;Sweater;;18;;14;;;Jakarta - Tiktok;Jeff;;3
odr7555;15/01/2019;05:25:38;Conrade Vashchenko;51079-074;Mug;;21;;18;;;Tangerang - Tokopedia;Jeff;Wahana;4
odr7556;19/01/2019;19:54:29;Cliff Midner;60505-1320;Cargo Pants;;24;;8;;;Bali - Shopee;Elon;Wahana;4
odr7557;27/01/2019;02:32:38;Guenevere Goudman;52544-287;;;7;;;;;Bogor - Tokopedia;Elon;Shopee Express;1
odr7558;23/01/2019;07:27:27;Wally Trussler;0069-3858;Parka Jackets;;7;;;;;Depok - Tokopedia;Nami;JNT;2
odr7559;09/01/2019;13:11:42;Justinn Walhedd;68788-9666;;;1;;;;;Bogor - Instagram;Abraham;JNT;4
odr7560;12/01/2019;22:45:16;Noach Inchan;37808-556;Oversized T-Shirt;;8;;19;;;Depok - Shopee;Wanokuni;Tiki;5
odr7561;18/01/2019;23:50:32;Carroll Conklin;63323-282;Oversized T-Shirt;;24;;34;;;Jakarta - Instagram;Elon;POS Indonesia;4
odr7562;12/01/2019;23:12:29;Hodge Hebden;68737-238;Oversized T-Shirt;;2;;23;;;Bandung - Tiktok;Rizal;;5
odr7563;14/01/2019;19:23:11;Coop Miroy;0179-0067;Topi;;5;;;;;Bali - Instagram;Abraham;JNT;1
odr7564;12/01/2019;00:59:33;Nannette Drew;47682-920;;;13;;17;;;Jakarta - Tiktok;Rizal;SiCepat;1
odr7565;17/01/2019;16:08:50;Coraline Bertwistle;51141-0300;Sweater;;2;;;;;Jakarta - Tiktok;Wanokuni;;4
odr7566;28/01/2019;20:44:02;Andrej Brackstone;59115-139;Topi;;6;;8;;;Semarang - Tiktok;Rizal;Wahana;2
odr7567;17/01/2019;00:50:29;Carroll Conklin;63629-5246;Oversized T-Shirt;;21;;22;;;Semarang - Website;Nami;Tiki;2
odr7568;18/01/2019;14:48:30;Laurent Pretsel;0597-0113;Sweater;;2;;;;;;Wanokuni;Tiki;5
odr7569;23/01/2019;16:05:31;Kat Snookes;43857-0167;Oversized T-Shirt;;24;;;;;Yogyakarta - Tokopedia;Rizal;JNE;4
odr7570;20/01/2019;00:14:15;Barbara-anne Yurenin;54569-2687;Oversized T-Shirt;;11;;;;;Bogor - Tiktok;Abraham;POS Indonesia;2
odr7571;03/01/2019;20:01:13;Rikki Libby;24385-421;Sweater;;8;;18;;;;Wanokuni;SiCepat;2
odr7572;09/01/2019;01:35:04;Birch Froment;43353-763;Topi;;23;;;;;Bandung - Lazada;Abraham;SiCepat;5
odr7573;26/01/2019;07:31:22;Roderigo Marusik;0168-0078;Sweater;;11;;;;;Yogyakarta - Tiktok;Nami;SiCepat;1
odr7574;21/01/2019;17:00:15;Manon Barnwall;55111-147;Oversized T-Shirt;;19;;;;;Bandung - Lazada;Elon;;2
odr7575;10/01/2019;18:01:26;Shelli Sterzaker;0603-4214;Cargo Pants;;18;;;;;Bandung - Website;Mark;POS Indonesia;1
odr7576;29/01/2019;04:27:40;Moshe Well;55289-883;Mug;;21;;27;;;Jakarta - Whatsapp;Abraham;Shopee Express;5
odr7577;28/01/2019;04:58:23;Kristofor Sumner;51523-007;Oversized T-Shirt;;8;;20;;;Tangerang - Website;Elon;JNT;4
odr7578;08/01/2019;23:25:59;Far Harrhy;43353-836;Oversized T-Shirt;;24;;10;;;Semarang - Instagram;Nami;SiCepat;3
odr7579;28/01/2019;14:03:38;Hesther Okker;60782-001;Oversized T-Shirt;;5;;;;;Bandung - Tiktok;Abraham;JNT;1
odr7580;18/01/2019;07:23:03;Thedrick Ruscoe;0085-0091;Oversized T-Shirt;;8;;29;;;Yogyakarta - Tiktok;Mark;Shopee Express;2
odr7581;07/01/2019;02:09:52;Steve Clack;36800-296;Oversized T-Shirt;;22;;;;;Depok - Instagram;Rizal;JNT;4
odr7582;30/01/2019;13:09:17;Norby Zywicki;54868-0634;Sweater;;4;;33;;;Bandung - FB Marketplace;Mark;Shopee Express;1
odr7583;24/01/2019;04:37:20;Hatty Skeates;11559-002;Mug;;3;;;;;Tangerang - Whatsapp;Elon;SiCepat;3
odr7584;22/01/2019;06:18:31;Kayle Wanklin;50114-1064;Topi;;15;;;;;Tangerang - FB Marketplace;Elon;JNE;2
odr7585;05/01/2019;12:15:12;Darlene Kaye;0591-2102;Oversized T-Shirt;;6;;8;;;Bandung - Shopee;Nami;POS Indonesia;1
odr7586;07/01/2019;02:28:48;Tammi Leivers;29149-001;Oversized T-Shirt;;8;;5;;;Bogor - Instagram;Nami;JNT;4
odr7587;03/01/2019;06:46:33;Vikky Purdie;35356-795;Cargo Pants;;4;;;;;Semarang - Tokopedia;Elon;SiCepat;4
odr7588;24/01/2019;09:24:05;Benedikt Hymans;49349-668;Mug;;8;;;;;Yogyakarta - Website;Jeff;Wahana;3
odr7589;26/01/2019;14:21:19;Marla Buncombe;37808-400;T-Shirt;;8;;32;;;Jakarta - Whatsapp;Rizal;JNT;1
odr7590;24/01/2019;23:26:14;Benjie Vogeler;51655-091;Parka Jackets;;6;;;;;Bandung - Shopee;Elon;Shopee Express;1
