order_id;Tanggal_Order;Waktu_Pesan;Nama_Pemesan;No_Resi;Produk;Kategori;Jumlah_Pesanan;Harga;Diskon;Total_Harga;Profit;Kota_Pengiriman - Media_Pemesanan;Admin_Proses;Ekspedisi;Rating
odr001;15/01/2018;19:56:05;Karla Nissle;60512-6443;T-Shirt;;9;;;;;Bandung - Instagram;Mark;Wahana;4
odr002;05/01/2018;17:50:33;Galen Janic;49349-424;;;24;;;;;Yogyakarta - Lazada;Mark;SiCepat;2
odr003;13/01/2018;20:52:39;Emma Beddoes;55926-0020;Oversized T-Shirt;;9;;13;;;Jakarta - Shopee;Mark;;5
odr004;27/01/2018;04:52:12;Alane Morat;60681-2104;T-Shirt;;8;;;;;;Nami;Shopee Express;4
odr005;04/01/2018;18:50:42;Eugenie Jewis;63739-110;;;4;;;;;Depok - Lazada;Wanokuni;POS Indonesia;5
odr006;20/01/2018;04:00:42;Milzie Baseggio;75921-158;Oversized T-Shirt;;6;;;;;Jakarta - Tokopedia;Wanokuni;Tiki;2
odr007;04/01/2018;17:25:48;Alard Betonia;66129-107;;;1;;;;;Bali - Shopee;Wanokuni;JNT;5
odr008;20/01/2018;10:52:37;Cathie Brimelow;55312-016;T-Shirt;;24;;30;;;;Rizal;SiCepat;4
odr009;28/01/2018;20:25:52;Burnaby Muslim;63304-637;T-Shirt;;15;;32;;;Bandung - Lazada;Abraham;JNT;2
odr010;24/01/2018;11:30:07;Gustavo Brumen;0013-2646;Cargo Pants;;1;;32;;;Depok - Tiktok;Nami;SiCepat;1
odr011;29/01/2018;13:27:11;Felicity Primak;50458-562;Cargo Pants;;3;;;;;Tangerang - Shopee;Rizal;Wahana;3
odr012;13/01/2018;13:36:50;Robbyn Ornillos;51523-120;Oversized T-Shirt;;14;;;;;Depok - Website;Jeff;SiCepat;3
odr013;08/01/2018;23:15:40;Kip Pelman;13668-271;Oversized T-Shirt;;25;;25;;;Jakarta - Lazada;Elon;;4
odr014;04/01/2018;00:55:05;Beitris Havile;0591-0453;;;24;;20;;;Semarang - Shopee;Mark;JNE;4
odr015;12/01/2018;23:49:19;Jarrid Barry;66758-016;Oversized T-Shirt;;1;;;;;Yogyakarta - Whatsapp;Mark;Wahana;4
odr016;05/01/2018;18:44:48;Rafe Penhall;61458-0001;T-Shirt;;18;;;;;Bali - Whatsapp;Elon;POS Indonesia;5
odr017;23/01/2018;17:48:16;Jasmina Hardcastle;68180-902;Oversized T-Shirt;;12;;34;;;Bali - Lazada;Mark;JNT;2
odr018;28/01/2018;08:45:15;Reece Tetley;52685-338;T-Shirt;;18;;33;;;Bogor - Shopee;Rizal;Wahana;5
odr019;27/01/2018;20:09:05;Wilmette Sapshed;29333-0001;Cargo Pants;;22;;;;;Semarang - Tokopedia;Elon;;3
odr020;12/01/2018;03:50:54;Stesha O'Fallowne;10967-583;Parka Jackets;;7;;;;;Bali - Shopee;Mark;Shopee Express;1
odr021;19/01/2018;12:19:55;Dorene Langland;42291-600;T-Shirt;;14;;;;;Bandung - Tiktok;Nami;POS Indonesia;2
odr022;28/01/2018;23:09:20;Idalia Fulks;37205-719;Oversized T-Shirt;;25;;;;;Depok - Tiktok;Mark;Wahana;3
odr023;10/01/2018;11:36:41;Justinn Loader;59779-376;Sweater;;13;;;;;Semarang - Tiktok;Nami;JNT;2
odr024;22/01/2018;20:42:03;Ailee Ayliff;62037-675;Oversized T-Shirt;;18;;;;;Jakarta - Whatsapp;Jeff;SiCepat;5
odr025;27/01/2018;22:43:11;Jo-anne Reneke;61570-075;Oversized T-Shirt;;8;;28;;;Jakarta - FB Marketplace;Elon;Tiki;3
odr026;20/01/2018;14:41:01;Benjy Easen;33261-143;Oversized T-Shirt;;9;;10;;;Jakarta - Website;Mark;JNE;1
odr027;03/01/2018;15:25:31;Halette Cawtheray;0462-0392;T-Shirt;;17;;;;;Jakarta - Tokopedia;Rizal;Shopee Express;4
odr028;23/01/2018;19:00:16;Andrej Brackstone;68850-001;Parka Jackets;;19;;35;;;Semarang - Lazada;Wanokuni;Shopee Express;5
odr029;18/01/2018;11:34:10;Nerti Greason;11819-351;T-Shirt;;24;;21;;;Bogor - Shopee;Elon;JNE;4
odr030;20/01/2018;01:59:13;Diarmid Chaffey;0004-0186;Oversized T-Shirt;;12;;;;;Depok - Shopee;Wanokuni;Tiki;5
odr031;18/01/2018;17:40:01;Kippy Anchor;63868-998;Cargo Pants;;11;;28;;;Jakarta - Shopee;Elon;Tiki;5
odr032;30/01/2018;05:31:14;Coretta Ramlot;54868-2093;T-Shirt;;19;;;;;Bali - FB Marketplace;Rizal;POS Indonesia;3
odr033;28/01/2018;06:51:12;Cathie Brimelow;49281-489;Cargo Pants;;3;;;;;Semarang - Lazada;Nami;Wahana;3
odr034;25/01/2018;01:05:11;Emiline Oddey;0378-6004;;;15;;;;;Yogyakarta - Lazada;Elon;Wahana;5
odr035;06/01/2018;22:44:06;Nicolai Jerrems;64679-661;Cargo Pants;;22;;;;;Bogor - Website;Abraham;;2
odr036;10/01/2018;10:12:02;Minnnie Bysshe;49349-607;Parka Jackets;;23;;;;;Bogor - Website;Mark;Wahana;1
odr037;26/01/2018;14:30:48;Barbette Brogi;35356-702;Oversized T-Shirt;;7;;31;;;Bali - Lazada;Wanokuni;Wahana;2
odr038;30/01/2018;03:34:15;Ravid Proger;52125-030;Oversized T-Shirt;;18;;30;;;Yogyakarta - Tokopedia;Jeff;POS Indonesia;5
odr039;12/01/2018;22:14:46;Ferd Tomaskov;63739-986;Parka Jackets;;7;;27;;;Tangerang - Whatsapp;Rizal;Shopee Express;5
odr040;05/01/2018;14:08:03;Farah Murley;48951-1028;T-Shirt;;14;;19;;;Tangerang - Whatsapp;Abraham;JNE;1
odr041;01/01/2018;09:38:05;Sig Elks;50227-2115;Parka Jackets;;5;;33;;;Yogyakarta - FB Marketplace;Elon;;1
odr042;03/01/2018;02:58:52;Bree Gwyn;21695-080;Parka Jackets;;23;;;;;Jakarta - Lazada;Rizal;Shopee Express;4
odr043;16/01/2018;00:19:03;Stacy Piechnik;68788-9554;T-Shirt;;20;;28;;;Tangerang - Lazada;Nami;POS Indonesia;4
odr044;26/01/2018;12:40:30;Syd O'Duilleain;64720-239;T-Shirt;;12;;;;;Bali - Website;Nami;JNT;3
