order_id;Tanggal_Order;Waktu_Pesan;Nama_Pemesan;No_Resi;Produk;Kategori;Jumlah_Pesanan;Harga;Diskon;Total_Harga;Profit;Kota_Pengiriman - Media_Pemesanan;Admin_Proses;Ekspedisi;Rating_Fix
odr13496;18/01/2020;09:25:18;Adan Henner;50114-7030;Sweater;;11;;;;;Semarang - Website;Nami;Wahana;3
odr13497;11/01/2020;01:35:42;Nicolai Jerrems;68084-006;Oversized T-Shirt;;18;;;;;Semarang - Whatsapp;Elon;JNE;2
odr13498;23/01/2020;07:55:00;Cherilyn Ozelton;33992-0003;Oversized T-Shirt;;1;;11;;;Bandung - Tokopedia;Nami;JNT;3
odr13499;28/01/2020;23:02:02;Lanny Cunnington;33261-707;Sweater;;19;;;;;Yogyakarta - Whatsapp;Mark;SiCepat;4
odr13500;06/01/2020;05:04:57;Faber Wasiel;42507-556;Mug;;12;;29;;;Bandung - FB Marketplace;Elon;SiCepat;3
odr13501;30/01/2020;01:37:41;Ailey Wallbutton;51672-4050;Oversized T-Shirt;;10;;16;;;Depok - Tiktok;Wanokuni;JNT;2
odr13502;07/01/2020;21:49:44;Ki Davenell;16110-080;Oversized T-Shirt;;11;;;;;;Rizal;;
odr13503;15/01/2020;04:26:43;Marena Duchart;37012-204;T-Shirt;;20;;;;;Semarang - Lazada;Jeff;POS Indonesia;
odr13504;25/01/2020;10:32:52;Brianne Dyerson;68428-101;T-Shirt;;13;;;;;Bali - FB Marketplace;Nami;Shopee Express;5
odr13505;21/01/2020;20:25:09;Leighton Cowoppe;10812-335;Sweater;;1;;34;;;Semarang - Tiktok;Abraham;JNT;4
odr13506;10/01/2020;04:46:29;Hewet Casin;41250-551;Oversized T-Shirt;;16;;;;;Bogor - Tokopedia;Abraham;SiCepat;
odr13507;04/01/2020;13:14:33;Ivor Lahive;63736-301;T-Shirt;;22;;;;;Semarang - FB Marketplace;Abraham;;5
odr13508;17/01/2020;21:40:38;Andrea Avraham;36987-3053;Topi;;24;;16;;;Bogor - Tokopedia;Jeff;Wahana;4
odr13509;04/01/2020;13:33:30;Annice Gurnay;68788-9093;;;19;;;;;Depok - FB Marketplace;Abraham;Shopee Express;3
odr13510;12/01/2020;20:56:55;Charla Canas;51079-277;T-Shirt;;9;;;;;Semarang - Tokopedia;Elon;JNT;2
odr13511;22/01/2020;08:51:50;Shane Woolacott;39892-0100;Parka Jackets;;21;;;;;Bogor - Shopee;Mark;;3
odr13512;13/01/2020;04:31:15;Brand Lotwich;59667-0107;Cargo Pants;;20;;21;;;Bali - Whatsapp;Nami;Shopee Express;5
odr13513;08/01/2020;03:33:34;Flossy Mesnard;54868-5809;Parka Jackets;;9;;26;;;Depok - Lazada;Mark;JNE;2
odr13514;03/01/2020;13:46:20;Marwin McIlriach;55316-882;Oversized T-Shirt;;4;;;;;Jakarta - Shopee;Abraham;SiCepat;4
odr13515;18/01/2020;16:56:25;Athena Kloisner;34690-4001;;;4;;;;;Depok - Instagram;Jeff;SiCepat;5
odr13516;19/01/2020;00:20:14;Pooh Paradise;63981-484;Cargo Pants;;17;;28;;;Semarang - Instagram;Abraham;JNT;2
odr13517;19/01/2020;18:46:58;Doro Cowdry;50436-3071;Topi;;7;;;;;Bali - Lazada;Jeff;Shopee Express;3
odr13518;01/01/2020;21:58:48;Jacynth Puckring;63824-340;Oversized T-Shirt;;3;;17;;;Tangerang - Shopee;Abraham;JNT;4
odr13519;19/01/2020;06:33:51;Darill Oxnam;36987-2114;Parka Jackets;;21;;15;;;Bandung - FB Marketplace;Elon;Wahana;1
odr13520;24/01/2020;15:11:12;Romonda Billion;68516-5215;T-Shirt;;8;;21;;;;Abraham;Tiki;2
odr13521;12/01/2020;23:15:54;Selene Pennacci;36987-3022;Cargo Pants;;19;;;;;Depok - Tokopedia;Mark;Tiki;4
odr13522;01/01/2020;12:09:29;Bianka Stallard;53113-104;Cargo Pants;;19;;35;;;Bogor - FB Marketplace;Rizal;JNE;1
odr13523;05/01/2020;12:14:38;Gennie Newson;63629-4606;Topi;;1;;27;;;Semarang - Website;Nami;JNE;5
odr13524;24/01/2020;11:30:04;Dilly Cleiment;55312-461;Oversized T-Shirt;;14;;;;;Yogyakarta - Whatsapp;Wanokuni;JNT;4
odr13525;01/01/2020;11:56:21;Brand Lotwich;21695-614;T-Shirt;;4;;;;;Yogyakarta - Shopee;Mark;Wahana;4
odr13526;11/01/2020;04:18:40;Lisa Bakewell;24385-602;T-Shirt;;25;;;;;Yogyakarta - Shopee;Rizal;SiCepat;4
odr13527;29/01/2020;07:36:07;Chrystel Francesco;36987-1405;Topi;;5;;28;;;Bogor - Lazada;Elon;JNT;3
odr13528;22/01/2020;01:59:40;Diarmid Chaffey;43526-103;T-Shirt;;25;;;;;Jakarta - Instagram;Elon;SiCepat;4
odr13529;26/01/2020;07:48:15;Gabbey Wallsworth;47593-316;Mug;;24;;19;;;Semarang - Lazada;Rizal;Wahana;4
odr13530;16/01/2020;04:20:31;Eugenie Jewis;36987-1893;Sweater;;18;;;;;Semarang - Tokopedia;Jeff;Wahana;2
odr13531;20/01/2020;04:05:38;Vernen Tal;55566-9300;T-Shirt;;7;;27;;;Yogyakarta - Shopee;Elon;Tiki;5
odr13532;15/01/2020;03:59:01;Xena Baldcock;49035-021;T-Shirt;;13;;;;;Depok - Whatsapp;Wanokuni;;5
odr13533;05/01/2020;10:58:02;Gratia Arthan;49349-517;;;13;;;;;Yogyakarta - Tiktok;Jeff;POS Indonesia;4
odr13534;07/01/2020;07:49:06;Gabriele Boni;43063-393;T-Shirt;;14;;;;;Bogor - Whatsapp;Abraham;Wahana;2
odr13535;22/01/2020;05:19:26;Jamima Lambert;0008-0923;Parka Jackets;;22;;30;;;Bandung - Tokopedia;Abraham;Shopee Express;2
odr13536;05/01/2020;13:45:55;Hugues Marcombe;60429-040;Parka Jackets;;3;;26;;;Semarang - Instagram;Nami;Tiki;1
